№,Секунда ,Микросекунда
1,54,236956
2,54,247949
3,54,258943
4,54,269937
5,54,280952
6,54,291474
7,54,301985
8,54,312993
9,54,323567
10,54,334079
11,54,344591
12,54,355114
13,54,365625
14,54,376036
15,54,387032
16,54,398024
17,54,409016
18,54,420008
19,54,431007
20,54,441996
21,54,453002
22,54,463993
23,54,475001
24,54,485570
25,54,496088
26,54,507420
27,54,517928
28,54,528982
29,54,539914
30,54,550906
31,54,561896
32,54,572887
33,54,583885
34,54,594887
35,54,605920
36,54,616417
37,54,626929
38,54,637946
39,54,648494
40,54,659477
41,54,670473
42,54,681466
43,54,692459
44,54,703452
45,54,714445
46,54,724647
47,54,735690
48,54,746663
49,54,757175
50,54,767687
51,54,778691
52,54,789212
53,54,799729
54,54,810717
55,54,821709
56,54,832700
57,54,843690
58,54,854683
59,54,865676
60,54,876671
61,54,887663
62,54,898165
63,54,908662
64,54,919655
65,54,930157
66,54,940655
67,54,951155
68,54,961652
69,54,972645
70,54,983639
71,54,994631
72,55,5625
73,55,16620
74,55,27613
75,55,38606
76,55,49598
77,55,60593
78,55,71586
79,55,82578
80,55,93571
81,55,104565
82,55,115558
83,55,126551
84,55,137544
85,55,148403
86,55,159734
87,55,170239
88,55,181234
89,55,192225
90,55,203218
91,55,214213
92,55,225207
93,55,236200
94,55,247193
95,55,258184
96,55,269180
97,55,279680
98,55,290678
99,55,301672
100,55,312664
101,55,323657
102,55,334651
103,55,345644
104,55,356637
105,55,367690
106,55,378632
107,55,389624
108,55,400618
109,55,411605
110,55,422598
111,55,433591
112,55,444585
113,55,455577
114,55,466572
115,55,477563
116,55,488595
117,55,499205
118,55,509986
119,55,520984
120,55,531967
121,55,542645
122,55,553631
123,55,564626
124,55,575617
125,55,586613
126,55,597605
127,55,608599
128,55,619592
129,55,630585
130,55,641577
131,55,652573
132,55,663566
133,55,674559
134,55,685550
135,55,696546
136,55,707539
137,55,718531
138,55,729525
139,55,740516
140,55,751509
141,55,761590
142,55,772587
143,55,783580
144,55,794577
145,55,805567
146,55,816563
147,55,827554
148,55,838548
149,55,849543
150,55,860535
151,55,871530
152,55,882523
153,55,893516
154,55,904509
155,55,915509
156,55,926503
157,55,937490
158,55,948511
159,55,959481
160,55,970482
161,55,981481
162,55,992483
163,56,3479
164,56,14467
165,56,25459
166,56,36454
167,56,47452
168,56,58445
169,56,69434
170,56,80433
171,56,91420
172,56,102417
173,56,113413
174,56,124400
175,56,135397
176,56,146385
177,56,157378
178,56,168375
179,56,179366
180,56,190415
181,56,201366
182,56,212358
183,56,223347
184,56,234347
185,56,245334
186,56,256332
187,56,267326
188,56,278318
189,56,289312
190,56,300356
191,56,311356
192,56,321887
193,56,332403
194,56,342918
195,56,353928
196,56,364441
197,56,374942
198,56,385462
199,56,395974
200,56,406486
201,56,416988
202,56,427483
203,56,438472
204,56,449469
205,56,460462
206,56,471453
207,56,482448
208,56,493439
209,56,504435
210,56,515272
211,56,525579
212,56,536092
213,56,547116
214,56,557608
215,56,568120
216,56,578642
217,56,589155
218,56,600140
219,56,611135
220,56,622128
221,56,633128
222,56,644120
223,56,655109
224,56,666112
225,56,677116
226,56,687606
227,56,698103
228,56,708600
229,56,719605
230,56,730094
231,56,740591
232,56,751090
233,56,761620
234,56,772089
235,56,782585
236,56,793083
237,56,803582
238,56,814572
239,56,825565
240,56,836558
241,56,847553
242,56,858548
243,56,869542
244,56,880123
245,56,890648
246,56,901664
247,56,912169
248,56,922731
249,56,933684
250,56,944191
251,56,954709
252,56,965223
253,56,976215
254,56,987209
255,56,998196
256,57,9188
257,57,19305
258,57,30176
259,57,41170
260,57,52172
261,57,62700
262,57,73259
263,57,83895
264,57,94896
265,57,105407
266,57,115918
267,57,127172
268,57,137685
269,57,148201
270,57,159186
271,57,170195
272,57,181172
273,57,192173
274,57,203158
275,57,214151
276,57,225167
277,57,236169
278,57,246681
279,57,257195
280,57,268203
281,57,278716
282,57,289233
283,57,299743
284,57,310269
285,57,320795
286,57,331318
287,57,342308
288,57,353297
289,57,364295
290,57,375290
291,57,386278
292,57,397278
293,57,408273
294,57,419285
295,57,429790
296,57,440304
297,57,451312
298,57,461875
299,57,472867
300,57,483854
